city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,1,36,1
city_40,0.776,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0
city_21,0.624,nan,No relevent experience,Full time course,Graduate,STEM,5,nan,nan,never,83,0
city_115,0.789,nan,No relevent experience,no_enrollment,Graduate,Business Degree,<1,nan,Pvt Ltd,never,52,1
city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0
city_176,0.764,nan,Has relevent experience,Part time course,Graduate,STEM,11,nan,nan,1,24,1
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,nan,5,50-99,Funded Startup,1,24,0
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0
city_21,0.624,nan,No relevent experience,Full time course,High School,nan,2,nan,nan,never,32,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,nan,2,nan,nan,never,24,0
city_21,0.624,nan,No relevent experience,Full time course,High School,nan,5,nan,nan,never,26,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,0
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1
city_13,0.827,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,nan,nan,1,132,1
city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0
city_102,0.804,nan,Has relevent experience,no_enrollment,Masters,STEM,10,nan,nan,1,48,0
city_40,0.776,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0
city_67,0.855,nan,No relevent experience,no_enrollment,High School,nan,4,nan,nan,never,22,0
city_21,0.624,nan,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,nan,nan,2,72,0
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,nan,11,<10,Pvt Ltd,1,8,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0
city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,nan,nan,1,24,0
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0
city_114,0.926,Male,No relevent experience,Part time course,High School,nan,1,10000+,Other,1,152,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1
city_103,0.92,nan,No relevent experience,no_enrollment,Graduate,STEM,12,nan,nan,4,50,0
